vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV25-1,0.00699374655050116,0.00771225830303094,-0.000718511752529775,-0.0977946505455738,0.459437110557717,0.790543481382757,0.102074238059075
TRBV29-1,0.0220469723915609,0.0194447671935375,0.00260220519802341,0.125597290985953,0.432338300488514,0.790543481382757,0.102074238059075
TRBV6-5,0.0388837462243615,0.0377631880666622,0.00112055815769928,0.0292415610129463,0.560912297860867,0.886603309522016,0.0522706518947187
TRBV2,0.0407907971952275,0.0377439021113607,0.00304689508386685,0.077632567854163,0.583412021988735,0.89334965867025,0.0489785241920431
TRBV3-1,0.0364095455274249,0.0375871508942096,-0.00117760536678461,-0.0318312804270617,0.620996867166216,0.896671657522259,0.0473665574365726
TRBV30,0.0236981464156964,0.0220254099519962,0.00167273646370023,0.073200050094835,0.622180333790955,0.896671657522259,0.0473665574365726
TRBV5-7,2.85384966968444e-05,0,2.85384966968444e-05,Inf,0.736741021290182,0.923177188703711,0.0347149352785723
TRBV6-2,0.023835876313373,0.022744944972932,0.00109093134044108,0.0468489320880764,0.775242190443399,0.923177188703711,0.0347149352785723
TRBV6-6,0.0205953186308684,0.0180937720075047,0.00250154662336369,0.12949600796465,0.670979316665664,0.923177188703711,0.0347149352785723
TRBV7-6,0.0096333503674284,0.00944514400168936,0.000188206365739045,0.0197303275157745,0.715843946729813,0.923177188703711,0.0347149352785723
TRBV7-7,0.00391250998185248,0.00256542416559443,0.00134708581625805,0.422055275480567,0.683824900770408,0.923177188703711,0.0347149352785723
TRBV9,0.0311767398273788,0.0294984449828906,0.00167829484448818,0.0553347489131505,0.791294733174609,0.923177188703711,0.0347149352785723
TRBV11-3,0.00988251713107431,0.00761590905084351,0.00226660808023081,0.260527894098744,0.716855704812621,0.923177188703711,0.0347149352785723
TRBV12-4,0.0229246171620237,0.0205922872613158,0.00233232990070785,0.107294717520448,0.763268793417691,0.923177188703711,0.0347149352785723
TRBV7-9,0.0405216389492911,0.0393902742240138,0.00113136472527725,0.0283171877460636,0.812832822336074,0.926251355685293,0.0332711433675831
TRBV10-2,0.00453715223686267,0.00405691028786252,0.00048024194900015,0.111877883585454,0.841008883526216,0.936578074836013,0.0284560132090613
TRBV11-1,0.00390174370404407,0.00332659488192019,0.00057514882212388,0.159474333974275,0.89883628009529,0.978732838325982,0.00933584004068776
TRBV6-4,0.00375484289368451,0.00350382686889647,0.00025101602478804,0.0691906828170487,0.94085093541889,0.980887145436715,0.00838095687437708
TRBV6-7,0.000139074087713972,7.66283524904215e-05,6.24457352235506e-05,0.596039651056963,0.931875351269785,0.980887145436715,0.00838095687437708
TRBV5-1,0.072318345060494,0.0713242725546247,0.000994072505869276,0.0138411342321953,0.977777292075725,0.995627710248122,0.0019030246383947
