vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV7-4,0.000211808878114346,0.000238099747779223,-2.62908696648768e-05,-0.117005344454767,0.00394044025701228,0.0126508871409342,1.89787901860649
TRBV10-2,0.00652628988673231,0.0064957321133564,3.05577733759116e-05,0.00469325416069676,0.00378809254759179,0.0126508871409342,1.89787901860649
TRBV23-1,0.00232363368648127,0.0021599810874344,0.000163652599046867,0.0730327387296663,0.00417784172707629,0.0127424172675827,1.8947481774645
TRBV15-1,0.0145752151923986,0.0144295025535382,0.000145712638860453,0.0100475974973116,0.00567157681113889,0.0164745802609272,1.78318564154034
TRBV6-5,0.049732664796392,0.0496158864398477,0.000116778356544292,0.00235088300481348,0.00920062060024317,0.0255108116643106,1.5932757234473
TRBV10-1,0.00625564338864442,0.00742618598269097,-0.00117054259404655,-0.171528401717755,0.0190348587413076,0.0504837557921636,1.29684834276678
TRBV30-1,0.0244172211648945,0.0257775575773228,-0.0013603364124283,-0.0542155832383423,0.0240944627801389,0.0612400928995198,1.21296415916061
TRBV6-9,0.000172538926446725,0.000144997043036651,2.75418834100741e-05,0.17390952221267,0.0335610525874578,0.081888968313397,1.08677460035574
TRBV29-1,0.0228431882545352,0.0245706960008539,-0.00172750774631873,-0.0729015475200076,0.0491240987196523,0.115252693149954,0.938348917508829
TRBV1-1,0.000573816348061845,0.000542871729579015,3.09446184828295e-05,0.0554363274372226,0.0596803682133325,0.130017945036189,0.885996702367424
TRBV5-5,0.01044148957826,0.0109978386838401,-0.000556349105580115,-0.0519115180190944,0.0582132829640048,0.130017945036189,0.885996702367424
TRBV6-2,0.00369616705821319,0.00395428121606356,-0.000258114157850375,-0.0675024916463628,0.063292247522633,0.133131968926918,0.875717645040365
TRBV11-2,0.0234198955165046,0.0226839634848206,0.000735932031683956,0.0319276764483871,0.0984491310458859,0.200179899793301,0.698579532486584
TRBV11-1,0.00497059225984642,0.00399949556741444,0.000971096692431977,0.217370754958628,0.110811846726579,0.2180491177523,0.66144566618424
TRBV5-3,0.0010320105424466,0.0010386988400079,-6.68829756129107e-06,-0.00645993192178735,0.161424855674295,0.307716131129125,0.511849736522327
TRBV6-8,0.000165715350198274,0.000153432638493593,1.22827117046815e-05,0.0770099250999938,0.170792450395036,0.315707256790825,0.500715435377373
